Time: 2019-Dec-05__16_20_55PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_20_57PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_20_59PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_21_01PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_21_03PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_21_05PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_21_07PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_21_09PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_21_11PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_21_44PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_21_46PM2.5: 0.3  PM10: 0.3
Time: 2019-Dec-05__16_21_49PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_21_51PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_21_53PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_21_55PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_21_57PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_21_59PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_22_01PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_22_03PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_22_05PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_22_07PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_22_10PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_22_12PM2.5: 0.5  PM10: 1.3
Time: 2019-Dec-05__16_22_14PM2.5: 0.5  PM10: 1.2
Time: 2019-Dec-05__16_22_46PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_22_49PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_22_51PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_22_53PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_22_55PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_22_57PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_22_59PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_23_01PM2.5: 0.6  PM10: 0.6
