Time: 2019-Nov-25__15_35_49PM2.5: 0.4  PM10: 1.9
Time: 2019-Nov-25__15_35_51PM2.5: 0.4  PM10: 1.8
Time: 2019-Nov-25__15_35_54PM2.5: 0.5  PM10: 1.5
Time: 2019-Nov-25__15_35_56PM2.5: 0.5  PM10: 1.3
Time: 2019-Nov-25__15_35_58PM2.5: 0.4  PM10: 1.2
Time: 2019-Nov-25__15_36_00PM2.5: 0.5  PM10: 1.3
Time: 2019-Nov-25__15_36_02PM2.5: 0.4  PM10: 1.4
Time: 2019-Nov-25__15_36_04PM2.5: 0.4  PM10: 1.3
Time: 2019-Nov-25__15_36_06PM2.5: 0.5  PM10: 1.3
Time: 2019-Nov-25__15_36_08PM2.5: 0.5  PM10: 1.3
Time: 2019-Nov-25__15_36_10PM2.5: 0.5  PM10: 1.2
Time: 2019-Nov-25__15_36_43PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_36_45PM2.5: 0.6  PM10: 3.0
Time: 2019-Nov-25__15_36_47PM2.5: 0.7  PM10: 2.0
Time: 2019-Nov-25__15_36_49PM2.5: 0.6  PM10: 1.4
Time: 2019-Nov-25__15_36_51PM2.5: 0.6  PM10: 1.4
Time: 2019-Nov-25__15_36_54PM2.5: 0.8  PM10: 1.8
Time: 2019-Nov-25__15_36_56PM2.5: 0.7  PM10: 1.6
Time: 2019-Nov-25__15_36_58PM2.5: 0.7  PM10: 1.5
Time: 2019-Nov-25__15_37_00PM2.5: 0.7  PM10: 1.4
Time: 2019-Nov-25__15_37_02PM2.5: 0.7  PM10: 1.3
Time: 2019-Nov-25__15_37_04PM2.5: 0.6  PM10: 1.2
Time: 2019-Nov-25__15_37_06PM2.5: 0.6  PM10: 1.1
Time: 2019-Nov-25__15_37_08PM2.5: 0.6  PM10: 1.2
Time: 2019-Nov-25__15_37_10PM2.5: 0.6  PM10: 1.1
Time: 2019-Nov-25__15_37_12PM2.5: 0.6  PM10: 1.0
Time: 2019-Nov-25__15_37_45PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_37_47PM2.5: 0.7  PM10: 0.7
Time: 2019-Nov-25__15_37_49PM2.5: 0.8  PM10: 1.0
Time: 2019-Nov-25__15_37_51PM2.5: 0.7  PM10: 0.9
Time: 2019-Nov-25__15_37_54PM2.5: 0.6  PM10: 0.7
Time: 2019-Nov-25__15_37_56PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_37_58PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_38_00PM2.5: 0.6  PM10: 2.0
Time: 2019-Nov-25__15_38_02PM2.5: 0.6  PM10: 1.7
Time: 2019-Nov-25__15_38_04PM2.5: 0.5  PM10: 1.6
Time: 2019-Nov-25__15_38_06PM2.5: 0.6  PM10: 1.5
Time: 2019-Nov-25__15_38_08PM2.5: 0.6  PM10: 1.5
Time: 2019-Nov-25__15_38_10PM2.5: 0.6  PM10: 1.8
Time: 2019-Nov-25__15_38_12PM2.5: 0.6  PM10: 1.7
Time: 2019-Nov-25__15_38_15PM2.5: 0.6  PM10: 1.6
Time: 2019-Nov-25__15_38_47PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_38_49PM2.5: 0.6  PM10: 1.0
Time: 2019-Nov-25__15_38_51PM2.5: 0.7  PM10: 1.1
Time: 2019-Nov-25__15_38_54PM2.5: 0.8  PM10: 1.0
Time: 2019-Nov-25__15_38_56PM2.5: 0.8  PM10: 0.9
Time: 2019-Nov-25__15_38_58PM2.5: 0.8  PM10: 0.8
Time: 2019-Nov-25__15_39_00PM2.5: 0.7  PM10: 1.0
Time: 2019-Nov-25__15_39_02PM2.5: 0.7  PM10: 1.0
Time: 2019-Nov-25__15_39_04PM2.5: 0.7  PM10: 0.9
Time: 2019-Nov-25__15_39_06PM2.5: 0.8  PM10: 1.0
Time: 2019-Nov-25__15_39_08PM2.5: 0.8  PM10: 0.9
Time: 2019-Nov-25__15_39_10PM2.5: 0.7  PM10: 0.9
Time: 2019-Nov-25__15_39_12PM2.5: 0.7  PM10: 0.9
Time: 2019-Nov-25__15_39_15PM2.5: 0.7  PM10: 0.9
Time: 2019-Nov-25__15_39_17PM2.5: 0.7  PM10: 0.9
Time: 2019-Nov-25__15_39_49PM2.5: 0.0  PM10: 0.0
